Name,star,num,type,image,Address,Local_Address,Internet_Address,Call_Number,Rating,Sun,Mon,Tues,Wedn,Thur,Fri,Sat,keyword,lat,lng,cluster,avgTime,exp,isspa
난바 워크,40.0,247.0,쇼핑몰,https://cdn.imweb.me/upload/S201612185855798c0088d/5ca568812e14c.jpg,1 Chome Sennichimae Chuo Ward Osaka 542-0074 일본,〒542-0074 大阪府大阪市中央区千日前１丁目,http://walk.osaka-chikagai.jp/,+81 6-6643-1866,3.9,오전 10:00~오후 9:00,오전 10:00~오후 9:00,오전 10:00~오후 9:00,오전 10:00~오후 9:00,오전 10:00~오후 9:00,오전 10:00~오후 9:00,오전 10:00~오후 9:00,"['카페', '산책', '음식', '쇼핑몰', '음식점', '광장', '쇼핑', '옷', '지하상가', '먹거리', '옛날']",34.6672816041245,135.503037554192,3,60,난바 워크なんばウォーク오사카 최대 규모의 지하상가! 난바역과 닛폰바시역을 이어주는 긴 지하통로입니다.,0
난바 파크스,40.0,375.0,쇼핑몰,https://media-cdn.tripadvisor.com/media/photo-s/17/d0/b6/ba/namba-parks-osaka.jpg,2 Chome-10-70 Nanbanaka Naniwa Ward Osaka 556-0011 일본,〒556-0011 大阪府大阪市浪速区難波中２丁目１０−70,https://nambaparks.com/,+81 6-6644-7100,4.0,오전 11:00~오후 9:00,오전 11:00~오후 9:00,오전 11:00~오후 9:00,오전 11:00~오후 9:00,오전 11:00~오후 9:00,오전 11:00~오후 9:00,오전 11:00~오후 9:00,"['카페', '어린이', '산책', '공원', '꽃', '음식', '쇼핑몰', '음식점', '백화점', '야경', '휴식', '쇼핑', '옷', '무료']",34.6618112416826,135.50187052351,3,60,"유명 브랜드 매장, 레스토랑, 영화관, 루프톱 정원이 있는 고급 쇼핑몰입니다.",0
니시노마루 정원,40.0,121.0,가든,https://media-cdn.tripadvisor.com/media/photo-s/09/a6/5f/6e/caption.jpg,2 Osakajo Chuo Ward Osaka 540-0002 일본,〒540-0002 大阪府大阪市中央区大阪城2,http://www.osakacastle.net/park/,+81 6-6941-1717,4.1,오전 9:00~오후 5:00,휴무일,오전 9:00~오후 5:00,오전 9:00~오후 5:00,오전 9:00~오후 5:00,오전 9:00~오후 5:00,오전 9:00~오후 5:00,"['어린이', '산책', '공원', '꽃', '음식', '성', '광장', '휴식', '사진', '역사', '무료']",34.6869132036796,135.523445496522,9,20,"잘 다듬어진 잔디밭, 토피어리 조각상, 벚꽃이 있는 아름다운 도심 공원입니다.",0
다이마루 백화점 신사이바시점,40.0,231.0,백화점,https://media-cdn.tripadvisor.com/media/photo-s/0b/45/ba/6b/caption.jpg,1 Chome-7-1 Shinsaibashisuji Chuo Ward Osaka 542-8501 일본,〒542-8501 大阪府大阪市中央区心斎橋筋１丁目７−1,http://www.daimaru.co.jp/shinsaibashi/,+81 6-6271-1231,4.0,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,"['카페', '무료', '전통', '선물', '음식', '백화점', '기념품', '쇼핑', '옷', '옛날']",34.673399395778,135.500961296522,3,45,다양한 인기 매장과 레스토랑이 입점한 활기찬 백화점입니다.,0
다카시마야 오사카점,40.0,241.0,역사적인 장소,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/20/92/7f/5f/caption.jpg?w=1400&h=-1&s=1,5 Chome-1-5 Nanba Chuo Ward Osaka 542-8510 일본,〒542-8510 大阪府大阪市中央区難波５丁目１−5,https://www.takashimaya.co.jp/osaka/,+81 6-6631-1101,4.0,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,"['무료', '전통', '선물', '음식', '백화점', '기념품', '술', '산', '쇼핑', '옛날']",34.6648037122615,135.501211125356,3,45,"오사카점 지점안내.다카시마야는 도쿄, 오사카, 교토, 나고야 등 전국에 지점을 둔 일본의 유명 백화점 중 하나입니다. ",0
더 심포니홀,45.0,124.0,즐길거리 & 랜드마크,https://www.kocis.go.kr/CONTENTS/editImage/20181105144352674_1.jpg,2 Chome-3-3 Oyodominami Kita Ward Osaka 531-0075 일본,〒531-0075 大阪府大阪市北区大淀南２丁目３−3,http://www.symphonyhall.jp/,+81 6-6453-1010,4.3,홈페이지 참조,홈페이지 참조,홈페이지 참조,홈페이지 참조,홈페이지 참조,홈페이지 참조,홈페이지 참조,"['카페', '공원', '음식', '음식점', '휴식', '콘서트', '공연', '오케스트라', '옛날']",34.7017804305337,135.485977196523,0,120,"오케스트라 공연이 열리는 1,704석 규모 공연장으로 발코니, 카페, 라운지가 있습니다.",0
덴노지동물원,35.0,737.0,동물원,https://media-cdn.tripadvisor.com/media/photo-s/07/58/1a/ed/caption.jpg,1-108 Chausuyamacho Tennoji Ward Osaka 543-0063 일본,〒543-0063 大阪府大阪市天王寺区茶臼山町１−108,https://www.tennojizoo.jp/,+81 6-6771-8401,4.0,오전 9:30~오후 5:00,휴무일,오전 9:30~오후 5:00,오전 9:30~오후 5:00,오전 9:30~오후 5:00,오전 9:30~오후 5:00,오전 9:30~오후 5:00,"['무료', '어린이', '산책', '공원', '동물원', '음식', '광장', '기념품', '사진', '역사', '옛날']",34.6508648612881,135.509031549644,11,150,텐노지 공원의 중심지로 사바나에서 열대 우림까지 다양한 서식지의 생물 200종 이상이 살고 있습니다.,0
덴덴타운 닛폰바시전기가,40.0,562.0,인근 지역,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Nipponbashi_Osaka_Japan01-r.jpg/1920px-Nipponbashi_Osaka_Japan01-r.jpg,일본 〒556-0005 Osaka Naniwa Ward Nipponbashi 3 Chome 〜５丁目,〒556-0005 大阪府大阪市浪速区日本橋３丁目 〜５丁目,nippombashi.jp,+81 6-6655-1717,4.0,오전 11:00~오후 7:00,오전 11:00~오후 7:00,오전 11:00~오후 7:00,오전 11:00~오후 7:00,오전 11:00~오후 7:00,오전 11:00~오후 7:00,오전 11:00~오후 7:00,"['카페', '인형', '음식', '메이드', '음식점', '게임', '만화', '시장', '쇼핑', '애니메이션', '옛날']",34.6602880968887,135.505749496521,3,120,"활기 넘치는 지역으로 중고 비디오 게임, 첨단 기술, 애니메이션, 만화 등을 전문으로 판매하는 상점이 있습니다.",0
덴포잔 대관람차,40.0,1683.0,즐길거리 & 랜드마크,https://a3.cdn.japantravel.com/photo/30884-155234/800!/osaka-tempozan-marketplace-155234.jpg,1 Chome-1-10 Kaigandori Minato Ward Osaka 552-0022 일본,〒552-0022 大阪府大阪市港区海岸通１丁目１−10,senyo.co.jp,+81 6-6576-6222,4.4,오전 11:00~오후 9:00,오전 11:00~오후 9:00,오전 11:00~오후 9:00,오전 11:00~오후 9:00,오전 11:00~오후 9:00,오전 10:00~오후 10:00,오전 10:00~오후 10:00,"['배', '관람차', '쇼핑몰', '수족관', '야경', '아쿠아리움', '바다', '사진', '쇼핑', '전망대', '항구', '무료']",34.6564009524444,135.430933710015,5,15,승객 480명을 수용하는 112.5m 높이의 관람차에서 탁 트인 풍경과 조명 쇼를 볼 수 있습니다.,0
덴포잔 하버 빌리지,40.0,235.0,즐길거리 & 랜드마크,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/7b/2a/eb/caption.jpg?w=1400&h=-1&s=1,1 Chome-1-10 Kaigandori Minato Ward Osaka 552-0022 일본,〒552-0022 大阪府大阪市港区海岸通１丁目１−10,http://www.kaiyukan.com/thv/,+81 6-6576-5501,4.1,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,"['산책', '배', '쇼핑몰', '아쿠아리움', '바다', '관람차', '음식점', '광장', '옛날', '레고', '야경', '기념품', '사진', '쇼핑', '항구', '어린이', '음식', '수족관', '공연', '무료']",34.6560955560215,135.4302072708,5,150,"쇼핑과 엔터테인먼트를 즐길 수 있는 항구 인근의 단지로 수족관, 대관람차 등이 있습니다.",0
도톤보리,45.0,12478.0,인근 지역,https://i.namu.wiki/i/EfgGvX66HwZ3VcUt56L_YC1UwSVVlh_roQP1PPWcvQXENUv6eFyoHFTwIC6QshF6gp45aF4Ai_WYgP5FILBLHKh4S8Fai-iU4AYDZKeRNDo_2_UYMlYGAqs_8HZkJFQ0jGQjdSY_xx_hX08bpqkGfg.webp,1 Chome Dotonbori Chuo Ward Osaka 542-0071 일본,〒542-0071 大阪府大阪市中央区道頓堀１丁目,dotonbori.or.jp,+81 6-6211-4542,4.3,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,"['배', '음식', '먹거리', '음식점', '쇼핑몰', '강', '야경', '기념품', '술', '사진', '쇼핑', '시장', '골목', '드럭스토어', '무료']",34.6690057669178,135.501318556941,3,90,"도톤보리는 학생들과 퇴근한 직장인들이 즐겨 찾는 소규모 바와 이자카야 선술집으로 가득한 운하 인근의 엔터테인먼트 지역입니다. 밤이 되면 좁은 골목길은 유명한 글리코제과점 옥외 간판처럼 형형색색의 네온사인으로 빛나고 다코야키를 판매하는 노점이 길거리에 줄지어 늘어섭니다. 쇼치쿠자 극장에서는 가부키 연극과 라이브 음악 공연이 열리고, 가미가타 우키요에칸에서는 전통 목판화 전시를 감상할 수 있습니다.",0
도톤보리 글리코 사인,40.0,185.0,즐길거리 & 랜드마크,https://media-cdn.tripadvisor.com/media/photo-s/18/15/61/2d/caption.jpg,1 Chome-10-3 Dotonbori Chuo Ward Osaka 542-0071 일본,〒542-0071 大阪府大阪市中央区道頓堀１丁目１０−3,https://www.glico.com/jp/enjoy/contents/glicosign/,+81 120-917-111,4.4,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,"['배', '음식', '강', '야경', '사진', '쇼핑', '먹거리']",34.6691173237826,135.501048510016,3,5,글리코 제과 회사 광고로 1935년에 설치된 유명한 대형 광고판입니다.,0
돈키호테 도톤보리점,50.0,1.0,특산물 & 기념품 가게,https://image.theminda.com/data/travel/image/middle/201609/1473401725_0.jpg,7-13 Souemoncho Chuo Ward Osaka 542-0084 일본,〒542-0084 大阪府大阪市中央区宗右衛門町７−13,https://www.donki.com/store/shop_detail.php?shop_id=110,+81 570-026-511,3.8,오전 11:00~오전 2:00,오전 11:00~오전 2:00,오전 11:00~오전 2:00,오전 11:00~오전 2:00,오전 11:00~오전 2:00,오전 11:00~오전 2:00,오전 11:00~오전 2:00,"['선물', '관람차', '쇼핑', '기념품', '사진', '드럭스토어', '시장', '먹거리']",34.6695096467409,135.502569194675,3,30,"식료품, 장난감, 신발, 기타 생활용품을 판매하는 편의점입니다.",0
레고랜드 디스커버리센터 오사카,35.0,198.0,놀이공원 & 테마파크,https://media-cdn.tripadvisor.com/media/photo-s/0a/8b/f2/57/100.jpg,일본 〒552-0022 Osaka Minato Ward Kaigandori 1 Chome−1−10 天保山マーケットプレース3階,〒552-0022 大阪府大阪市港区海岸通１丁目１−10 天保山マーケットプレース3階,https://www.legolanddiscoverycenter.com/osaka/,+81 800-100-5346,3.9,오전 10:00~오후 6:00,오전 10:00~오후 6:00,오전 10:00~오후 6:00,오전 10:00~오후 6:00,오전 10:00~오후 6:00,오전 10:00~오후 6:00,오전 10:00~오후 6:00,"['놀이기구', '카페', '레고', '어린이', '극장', '체험', '공원', '어트랙션', '음식', '관람차', '게임', '수족관', '작품', '사진', '쇼핑', '실내', '무료']",34.6564084308647,135.430266254191,5,150,"가족을 위한 실내 레고 명소로 놀이기구, 4D 영화관, 여러 놀이 공간이 갖춰져 있습니다.",0
린쿠프리미엄아웃렛,40.0,779.0,팩토리 아울렛,https://media-cdn.tripadvisor.com/media/photo-s/14/62/54/92/caption.jpg,3-28 Rinkuoraiminami Izumisano Osaka 598-8508 일본,〒598-8508 大阪府泉佐野市りんくう往来南3-28,https://www.premiumoutlets.co.jp/rinku/,+81 72-458-4600,4.1,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,"['산책', '공원', '아울렛', '음식', '관람차', '쇼핑몰', '음식점', '바다', '휴식', '쇼핑', '옷', '무료']",34.4065602257557,135.295472940687,8,60,현대적인 쇼핑센터로 브랜드 제품을 할인된 가격에 구매할 수 있는 글로벌 아웃렛 매장이 입점해 있습니다.,0
메이드리밍 오사카 난바점,50.0,610.0,디저트 카페,"https://res.klook.com/image/upload/fl_lossy.progressive,q_65/w_800/activities/krwhihg9gktzzzurjybp.webp",일본 〒556-0011 Osaka Naniwa Ward Nanbanaka 2 Chome−2−21 NAMBA VALLE BLD. 3F,〒556-0011 大阪府大阪市浪速区難波中２丁目２−21 NAMBA VALLE BLD. 3F,없음,없음,4.2,오전 11:30~오후 11:00,오전 11:30~오후 11:00,오전 11:30~오후 11:00,오전 11:30~오후 11:00,오전 11:30~오후 11:00,오전 10:30~오후 11:00,오전 10:30~오후 11:00,"['카페', '그림', '체험', '음식', '메이드', '기념품', '술', '사진', '공연']",34.6632037907437,135.503827796521,3,60,"도쿄 아키하바라 및 기타 주요 지역에 있는 대표적인 메이드 카페, 메이드리밍에 방문하세요. 귀여운 메이드 코스튬과 각종 사랑스러운 장식품이 잔뜩 있답니다.",0
모마 사쿠라노미야 공원,45.0,263.0,공원,https://place.matcha-jp.com/resize/1280x2000/2023/03/06-16-18-08-12173ee54c38b9517b1085cbb563bce850.webp?w=656,Nakanocho Miyakojima Ward Osaka 534-0027 일본,〒534-0027 大阪府大阪市都島区中野町,http://www.osakapark.osgf.or.jp/kema_sakuranomiya/,+81 6-6912-0650,4.0,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,"['산책', '공원', '꽃', '배', '성', '음식', '강', '휴식', '사진', '자전거', '무료']",34.7053095345542,135.518843796523,13,120,"게마 사쿠라노미야 공원은 오가와강을 따라 4km나 길게 이어져 있는데, 강기슭을 따라 벚나무가 빽빽이 늘어서 있습니다. 매년 봄이면 공원을 찾는 주민들로 붐빕니다.",0
반파쿠기넨코엔 (엑스포’70 기념공원),40.0,580.0,공원,https://youimg1.tripcdn.com/target/0104x120008fgd7zo1B60_C_760_506_Q70.jpg?proc=source%2ftrip,Senribanpakukoen Suita Osaka 565-0826 일본,〒565-0826 大阪府吹田市千里万博公園,http://www.expo70-park.jp/,+81 6-6877-7387,4.2,오전 9:30~오후 5:00,오전 9:30~오후 5:00,오전 9:30~오후 5:00,휴무일,오전 9:30~오후 5:00,오전 9:30~오후 5:00,오전 9:30~오후 5:00,"['놀이기구', '무료', '박람회', '어린이', '산책', '공원', '꽃', '음식', '관람차', '쇼핑몰', '쇼핑', '광장', '휴식', '사진', '자전거', '박물관', '옛날']",34.8084940726782,135.532350767692,7,150,"1970년 세계 박람회 부지에 조성된 공원으로, 박물관, 경기장, 태양의 탑이 있습니다.",0
센니치마에 도구야스지 상점가,40.0,475.0,벼룩시장 & 재래시장,https://ak-d.tripcdn.com/images/0100y120008gm0jux2C04_Z_760_506_Q70.jpg?proc=source%2ftrip&proc=source%2ftrip,14-5 Nanbasennichimae Chuo Ward Osaka 542-0075 일본,〒542-0075 大阪府大阪市中央区難波千日前１４−5,http://www.doguyasuji.or.jp/,+81 6-6633-1423,4.1,오전 10:00~오후 6:00,오전 10:00~오후 6:00,오전 10:00~오후 6:00,오전 10:00~오후 6:00,오전 10:00~오후 6:00,오전 10:00~오후 6:00,오전 10:00~오후 6:00,"['선물', '음식', '음식점', '백화점', '기념품', '시장', '쇼핑', '골목', '옛날']",34.6639066669314,135.503452881181,3,90,"가정용품, 주방용품, 도자기류, 도구 등을 판매하는 전문 쇼핑가입니다.",0
소라니와 온천 오사카베이타워,,,온천 리조트,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxOTA4MTZfNjMg%2FMDAxNTY1ODk3MDIwMDcy.YnvthQvULFyb-IBAvnezgvrM0anX0nOqv-78umd69Vgg.P5NKaFrf0YmVjyFC7ISgM5r9p3IhyP6McsUQAFj2-oog.JPEG.gliceryn%2F%25BC%25D2%25B6%25F3%25B4%25CF%25BF%25CD_%25BF%25C2%25C3%25B5-71.jpg&type=a340,1 Chome-2-3 Benten Minato Ward Osaka 552-0007 일본,〒552-0007 大阪府大阪市港区弁天１丁目２−3,solaniwa.com,+81 6-7670-5126,3.9,오전 11:00~오후 11:00,오전 11:00~오후 11:00,오전 11:00~오후 11:00,오전 11:00~오후 11:00,오전 11:00~오후 11:00,오전 11:00~오후 11:00,오전 11:00~오후 11:00,"['목욕탕', '산책', '체험', '노천', '스파', '음식', '음식점', '온천', '만화', '유카타', '사우나', '휴식', '사진', '옷', '무료']",34.6705608202456,135.459515410016,14,120,오사카 베이 타워에 위치하고 있는 소라니와 온천은 간사이 지역 최대 규모를 자랑한답니다. ,1
스미요시 타이샤,45.0,866.0,종교적인 장소,https://youimg1.tripcdn.com/target/10080d0000006sdes7E92_C_760_506_Q70.jpg?proc=source%2ftrip,2 Chome-9-89 Sumiyoshi Sumiyoshi Ward Osaka 558-0045 일본,〒558-0045 大阪府大阪市住吉区住吉２丁目９−89,http://www.sumiyoshitaisha.net/,+81 6-6672-0753,4.4,오전 6:30~오후 5:00,오전 6:30~오후 5:00,오전 6:30~오후 5:00,오전 6:30~오후 5:00,오전 6:30~오후 5:00,오전 6:30~오후 5:00,오전 6:30~오후 5:00,"['무료', '산책', '공원', '사원', '신사', '바다', '사진', '역사', '옛날']",34.612501973587,135.49372638295,12,60,"멋진 풍경으로 둘러싸인 역사적인 3세기 신사로, 붉은 인도교와 평화로운 정원이 있습니다.",0
스파월드,40.0,834.0,놀이공원 & 테마파크,https://media-cdn.tripadvisor.com/media/photo-s/12/6a/b6/f3/6.jpg,3 Chome-4-24 Ebisuhigashi Naniwa Ward Osaka 556-0002 일본,〒556-0002 大阪府大阪市浪速区恵美須東３丁目４−24,http://www.spaworld.co.jp/,+81 6-6631-0001,4.0,오전 10:00~오전 8:45,오전 10:00~오전 8:45,오전 10:00~오전 8:45,오전 10:00~오전 8:45,오전 10:00~오전 8:45,오전 10:00~오전 8:45,오전 10:00~오전 8:45,"['어린이', '목욕탕', '노천', '스파', '음식', '음식점', '온천', '수영장', '사우나', '휴식', '옷', '실내', '무료']",34.6501235222796,135.505629254191,11,120,오사카 스파월드SPAWORLD세계테마를 이용한 스파월드로서다양한 볼거리와 먹거리 수영과 온천을동시에 즐길 수 있습니다.,1
시텐노지,40.0,1083.0,종교적인 장소,https://youimg1.tripcdn.com/target/0100f120009d43ptyAA8B_C_760_506_Q70.jpg?proc=source%2ftrip,1 Chome-11-18 Shitennoji Tennoji Ward Osaka 543-0051 일본,〒543-0051 大阪府大阪市天王寺区四天王寺１丁目11-18,shitennoji.or.jp,+81 6-6771-0066,4.3,오전 8:00~오후 4:00,오전 8:00~오후 4:00,오전 8:00~오후 4:00,오전 8:00~오후 4:00,오전 8:00~오후 4:00,오전 8:00~오후 4:00,오전 8:00~오후 4:00,"['절', '무료', '산책', '배', '사원', '신사', '산', '역사', '사진', '시장', '불상', '옛날']",34.6546610591973,135.516545354191,11,90,"593년에 처음 지어져 복원된 불교 사찰로 5층탑, 불상, 거북이 연못이 있습니다.",0
