Name,star,num,type,address,image,Address,Local_Address,Internet_Address,Call_Number,Rating,Sun,Mon,Tues,Wedn,Thur,Fri,Sat,keyword
난바 시티 본관,40.0,131.0,쇼핑몰,"5-1-60, Namba, Chuo, 오사카, 오사카",https://media-cdn.tripadvisor.com/media/photo-s/0b/97/53/49/city.jpg,"5 Chome-1-60 Nanba, Chuo Ward, Osaka, 542-0076 일본",〒542-0076 大阪府大阪市中央区難波５丁目１−60,https://nambacity.com/,+81 6-6644-2960,3.9,오전 11:00~오후 9:00,오전 11:00~오후 9:00,오전 11:00~오후 9:00,오전 11:00~오후 9:00,오전 11:00~오후 9:00,오전 11:00~오후 9:00,오전 11:00~오후 9:00,"['산책', '음식', '쇼핑몰', '음식점', '백화점', '광장', '쇼핑', '옷', '먹거리', '옛날']"
난바 워크,40.0,247.0,쇼핑몰,"Sennichimae, Chuo, 오사카, 오사카",https://media-cdn.tripadvisor.com/media/photo-s/15/21/90/f5/namba-walk.jpg,"1 Chome Sennichimae, Chuo Ward, Osaka, 542-0074 일본",〒542-0074 大阪府大阪市中央区千日前１丁目,http://walk.osaka-chikagai.jp/,+81 6-6643-1866,3.9,오전 10:00~오후 9:00,오전 10:00~오후 9:00,오전 10:00~오후 9:00,오전 10:00~오후 9:00,오전 10:00~오후 9:00,오전 10:00~오후 9:00,오전 10:00~오후 9:00,"['카페', '산책', '음식', '쇼핑몰', '음식점', '광장', '쇼핑', '옷', '지하상가', '먹거리', '옛날']"
난바 파크스,40.0,375.0,쇼핑몰,"2 Nambanaka, Naniwa-Ku, 오사카, 오사카",https://media-cdn.tripadvisor.com/media/photo-s/17/d0/b6/ba/namba-parks-osaka.jpg,"2 Chome-10-70 Nanbanaka, Naniwa Ward, Osaka, 556-0011 일본",〒556-0011 大阪府大阪市浪速区難波中２丁目１０−70,https://nambaparks.com/,+81 6-6644-7100,4.0,오전 11:00~오후 9:00,오전 11:00~오후 9:00,오전 11:00~오후 9:00,오전 11:00~오후 9:00,오전 11:00~오후 9:00,오전 11:00~오후 9:00,오전 11:00~오후 9:00,"['카페', '어린이', '산책', '공원', '꽃', '음식', '쇼핑몰', '음식점', '백화점', '야경', '휴식', '쇼핑', '옷', '무료']"
니시노마루 정원,40.0,121.0,가든,"2 Osakajyo, Chuo, 오사카, 오사카",https://media-cdn.tripadvisor.com/media/photo-s/09/a6/5f/6e/caption.jpg,"2 Osakajo, Chuo Ward, Osaka, 540-0002 일본",〒540-0002 大阪府大阪市中央区大阪城2,http://www.osakacastle.net/park/,+81 6-6941-1717,4.1,오전 9:00~오후 5:00,휴무일,오전 9:00~오후 5:00,오전 9:00~오후 5:00,오전 9:00~오후 5:00,오전 9:00~오후 5:00,오전 9:00~오후 5:00,"['어린이', '산책', '공원', '꽃', '음식', '성', '광장', '휴식', '사진', '역사', '무료']"
다이마루 백화점 신사이바시점,40.0,231.0,백화점,"1-7-1Shinsaibashisuji, Chuo, 오사카, 오사카",https://media-cdn.tripadvisor.com/media/photo-s/0b/45/ba/6b/caption.jpg,"1 Chome-7-1 Shinsaibashisuji, Chuo Ward, Osaka, 542-8501 일본",〒542-8501 大阪府大阪市中央区心斎橋筋１丁目７−1,http://www.daimaru.co.jp/shinsaibashi/,+81 6-6271-1231,4.0,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,"['카페', '무료', '전통', '선물', '음식', '백화점', '기념품', '쇼핑', '옷', '옛날']"
다카시마야 오사카점,40.0,241.0,역사적인 장소,"5-1-5, Namba, Chuo, 오사카, 오사카",https://media-cdn.tripadvisor.com/media/photo-s/1b/54/30/9a/caption.jpg,"5 Chome-1-5 Nanba, Chuo Ward, Osaka, 542-8510 일본",〒542-8510 大阪府大阪市中央区難波５丁目１−5,https://www.takashimaya.co.jp/osaka/,+81 6-6631-1101,4.0,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,"['무료', '전통', '선물', '음식', '백화점', '기념품', '술', '산', '쇼핑', '옛날']"
더 심포니홀,45.0,124.0,즐길거리 & 랜드마크,"2-3-3 Oyodominami, Kita-Ku, 오사카, 오사카",https://media-cdn.tripadvisor.com/media/photo-s/12/ed/d3/87/the-entrance-through.jpg,"2 Chome-3-3 Oyodominami, Kita Ward, Osaka, 531-0075 일본",〒531-0075 大阪府大阪市北区大淀南２丁目３−3,http://www.symphonyhall.jp/,+81 6-6453-1010,4.3,홈페이지 참조,홈페이지 참조,홈페이지 참조,홈페이지 참조,홈페이지 참조,홈페이지 참조,홈페이지 참조,"['카페', '공원', '음식', '음식점', '휴식', '콘서트', '공연', '오케스트라', '옛날']"
덴노지동물원,35.0,737.0,동물원,"1-108 Chausuyamacho, Tennojiku, 오사카, 오사카",https://media-cdn.tripadvisor.com/media/photo-s/07/58/1a/ed/caption.jpg,"1-108 Chausuyamacho, Tennoji Ward, Osaka, 543-0063 일본",〒543-0063 大阪府大阪市天王寺区茶臼山町１−108,https://www.tennojizoo.jp/,+81 6-6771-8401,4.0,오전 9:30~오후 5:00,휴무일,오전 9:30~오후 5:00,오전 9:30~오후 5:00,오전 9:30~오후 5:00,오전 9:30~오후 5:00,오전 9:30~오후 5:00,"['무료', '어린이', '산책', '공원', '동물원', '음식', '광장', '기념품', '사진', '역사', '옛날']"
덴덴타운 닛폰바시전기가,40.0,562.0,인근 지역,"Namba, Nippombashi, Chuo, 오사카, 오사카",https://media-cdn.tripadvisor.com/media/photo-s/0b/30/ae/c6/photo0jpg.jpg,"일본 〒556-0005 Osaka, Naniwa Ward, Nipponbashi, 3 Chome, 〜５丁目",〒556-0005 大阪府大阪市浪速区日本橋３丁目 〜５丁目,nippombashi.jp,+81 6-6655-1717,4.0,오전 11:00~오후 7:00,오전 11:00~오후 7:00,오전 11:00~오후 7:00,오전 11:00~오후 7:00,오전 11:00~오후 7:00,오전 11:00~오후 7:00,오전 11:00~오후 7:00,"['카페', '인형', '음식', '메이드', '음식점', '게임', '만화', '시장', '쇼핑', '애니메이션', '옛날']"
덴포잔 대관람차,40.0,1683.0,즐길거리 & 랜드마크,"1-1-10 Kaigandori Minatoku, 오사카, 오사카",https://media-cdn.tripadvisor.com/media/photo-s/0f/91/7d/50/ferris-wheel.jpg,"1 Chome-1-10 Kaigandori, Minato Ward, Osaka, 552-0022 일본",〒552-0022 大阪府大阪市港区海岸通１丁目１−10,senyo.co.jp,+81 6-6576-6222,4.4,오전 11:00~오후 9:00,오전 11:00~오후 9:00,오전 11:00~오후 9:00,오전 11:00~오후 9:00,오전 11:00~오후 9:00,오전 10:00~오후 10:00,오전 10:00~오후 10:00,"['배', '관람차', '쇼핑몰', '수족관', '야경', '아쿠아리움', '바다', '사진', '쇼핑', '전망대', '항구', '무료']"
덴포잔 하버 빌리지,40.0,235.0,즐길거리 & 랜드마크,"1chome Kaigandori, Minato-Ku, 오사카, 오사카",https://media-cdn.tripadvisor.com/media/photo-s/09/94/1c/40/caption.jpg,"1 Chome-1-10 Kaigandori, Minato Ward, Osaka, 552-0022 일본",〒552-0022 大阪府大阪市港区海岸通１丁目１−10,http://www.kaiyukan.com/thv/,+81 6-6576-5501,4.1,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,"['산책', '배', '쇼핑몰', '아쿠아리움', '바다', '관람차', '음식점', '광장', '옛날', '레고', '야경', '기념품', '사진', '쇼핑', '항구', '어린이', '음식', '수족관', '공연', '무료']"
도톤보리,45.0,12478.0,인근 지역,"Chuo-ku, Dotombori, Chuo, 오사카, 오사카",https://media-cdn.tripadvisor.com/media/photo-s/09/6c/92/dc/dotonbori.jpg,"1 Chome Dotonbori, Chuo Ward, Osaka, 542-0071 일본",〒542-0071 大阪府大阪市中央区道頓堀１丁目,dotonbori.or.jp,+81 6-6211-4542,4.3,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,"['배', '음식', '먹거리', '음식점', '쇼핑몰', '강', '야경', '기념품', '술', '사진', '쇼핑', '시장', '골목', '드럭스토어', '무료']"
도톤보리 글리코 사인,40.0,185.0,즐길거리 & 랜드마크,"1-10-2, Dotombori, Chuo, 오사카, 오사카",https://media-cdn.tripadvisor.com/media/photo-s/18/15/61/2d/caption.jpg,"1 Chome-10-3 Dotonbori, Chuo Ward, Osaka, 542-0071 일본",〒542-0071 大阪府大阪市中央区道頓堀１丁目１０−3,https://www.glico.com/jp/enjoy/contents/glicosign/,+81 120-917-111,4.4,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,"['배', '음식', '강', '야경', '사진', '쇼핑', '먹거리']"
돈키호테 도톤보리점,50.0,1.0,특산물 & 기념품 가게,"7-13 Soemoncho, Chuo, 오사카, 오사카",https://media-cdn.tripadvisor.com/media/photo-s/27/41/99/20/store-exterior.jpg,"7-13 Souemoncho, Chuo Ward, Osaka, 542-0084 일본",〒542-0084 大阪府大阪市中央区宗右衛門町７−13,https://www.donki.com/store/shop_detail.php?shop_id=110,+81 570-026-511,3.8,오전 11:00~오전 2:00,오전 11:00~오전 2:00,오전 11:00~오전 2:00,오전 11:00~오전 2:00,오전 11:00~오전 2:00,오전 11:00~오전 2:00,오전 11:00~오전 2:00,"['선물', '관람차', '쇼핑', '기념품', '사진', '드럭스토어', '시장', '먹거리']"
레고랜드 디스커버리센터 오사카,35.0,198.0,놀이공원 & 테마파크,"1-1-10 Kaigan-dori, Minato-ku, 오사카, 오사카",https://media-cdn.tripadvisor.com/media/photo-s/0a/8b/f2/57/100.jpg,"일본 〒552-0022 Osaka, Minato Ward, Kaigandori, 1 Chome−1−10 天保山マーケットプレース3階",〒552-0022 大阪府大阪市港区海岸通１丁目１−10 天保山マーケットプレース3階,https://www.legolanddiscoverycenter.com/osaka/,+81 800-100-5346,3.9,오전 10:00~오후 6:00,오전 10:00~오후 6:00,오전 10:00~오후 6:00,오전 10:00~오후 6:00,오전 10:00~오후 6:00,오전 10:00~오후 6:00,오전 10:00~오후 6:00,"['놀이기구', '카페', '레고', '어린이', '극장', '체험', '공원', '어트랙션', '음식', '관람차', '게임', '수족관', '작품', '사진', '쇼핑', '실내', '무료']"
린쿠프리미엄아웃렛,40.0,779.0,팩토리 아울렛,"3-28 Oraiminami Rinku, 이즈미사노, 오사카",https://media-cdn.tripadvisor.com/media/photo-s/14/62/54/92/caption.jpg,"3-28 Rinkuoraiminami, Izumisano, Osaka 598-8508 일본",〒598-8508 大阪府泉佐野市りんくう往来南3-28,https://www.premiumoutlets.co.jp/rinku/,+81 72-458-4600,4.1,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,"['산책', '공원', '아울렛', '음식', '관람차', '쇼핑몰', '음식점', '바다', '휴식', '쇼핑', '옷', '무료']"
메이드리밍 오사카 난바점,50.0,610.0,디저트 카페,"일본 〒556-0011 Osaka, Naniwa Ward, Nanbanaka, 2 Chome−2−21 NAMBA VALLE BLD. 3F",https://media-cdn.tripadvisor.com/media/photo-s/25/a3/ff/d2/caption.jpg,"일본 〒556-0011 Osaka, Naniwa Ward, Nanbanaka, 2 Chome−2−21 NAMBA VALLE BLD. 3F",〒556-0011 大阪府大阪市浪速区難波中２丁目２−21 NAMBA VALLE BLD. 3F,없음,없음,4.2,오전 11:30~오후 11:00,오전 11:30~오후 11:00,오전 11:30~오후 11:00,오전 11:30~오후 11:00,오전 11:30~오후 11:00,오전 10:30~오후 11:00,오전 10:30~오후 11:00,"['카페', '그림', '체험', '음식', '메이드', '기념품', '술', '사진', '공연']"
모마 사쿠라노미야 공원,45.0,263.0,공원,"1 Nagarahigashi Kita-ku, 오사카, 오사카",https://media-cdn.tripadvisor.com/media/photo-s/0a/57/dc/20/caption.jpg,"Nakanocho, Miyakojima Ward, Osaka, 534-0027 일본",〒534-0027 大阪府大阪市都島区中野町,http://www.osakapark.osgf.or.jp/kema_sakuranomiya/,+81 6-6912-0650,4.0,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,"['산책', '공원', '꽃', '배', '성', '음식', '강', '휴식', '사진', '자전거', '무료']"
반파쿠기넨코엔 (엑스포’70 기념공원),40.0,580.0,공원,"1-1 Senribanpakukoen, 스이타, 오사카",https://media-cdn.tripadvisor.com/media/photo-s/16/3a/29/73/caption.jpg,"Senribanpakukoen, Suita, Osaka 565-0826 일본",〒565-0826 大阪府吹田市千里万博公園,http://www.expo70-park.jp/,+81 6-6877-7387,4.2,오전 9:30~오후 5:00,오전 9:30~오후 5:00,오전 9:30~오후 5:00,휴무일,오전 9:30~오후 5:00,오전 9:30~오후 5:00,오전 9:30~오후 5:00,"['놀이기구', '무료', '박람회', '어린이', '산책', '공원', '꽃', '음식', '관람차', '쇼핑몰', '쇼핑', '광장', '휴식', '사진', '자전거', '박물관', '옛날']"
센니치마에 도구야스지 상점가,40.0,475.0,벼룩시장 & 재래시장,"5-19 Nambasennichimae, Chuo, 오사카, 오사카",https://media-cdn.tripadvisor.com/media/photo-s/1a/af/73/05/caption.jpg,"14-5 Nanbasennichimae, Chuo Ward, Osaka, 542-0075 일본",〒542-0075 大阪府大阪市中央区難波千日前１４−5,http://www.doguyasuji.or.jp/,+81 6-6633-1423,4.1,오전 10:00~오후 6:00,오전 10:00~오후 6:00,오전 10:00~오후 6:00,오전 10:00~오후 6:00,오전 10:00~오후 6:00,오전 10:00~오후 6:00,오전 10:00~오후 6:00,"['선물', '음식', '음식점', '백화점', '기념품', '시장', '쇼핑', '골목', '옛날']"
소라니와 온천 오사카베이타워,,,온천 리조트,"1 Chome-2-3 Benten, Minato Ward, Osaka, 552-0007 일본",https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxOTA4MTZfNjMg%2FMDAxNTY1ODk3MDIwMDcy.YnvthQvULFyb-IBAvnezgvrM0anX0nOqv-78umd69Vgg.P5NKaFrf0YmVjyFC7ISgM5r9p3IhyP6McsUQAFj2-oog.JPEG.gliceryn%2F%25BC%25D2%25B6%25F3%25B4%25CF%25BF%25CD_%25BF%25C2%25C3%25B5-71.jpg&type=a340,"1 Chome-2-3 Benten, Minato Ward, Osaka, 552-0007 일본",〒552-0007 大阪府大阪市港区弁天１丁目２−3,solaniwa.com,+81 6-7670-5126,3.9,오전 11:00~오후 11:00,오전 11:00~오후 11:00,오전 11:00~오후 11:00,오전 11:00~오후 11:00,오전 11:00~오후 11:00,오전 11:00~오후 11:00,오전 11:00~오후 11:00,"['목욕탕', '산책', '체험', '노천', '스파', '음식', '음식점', '온천', '만화', '유카타', '사우나', '휴식', '사진', '옷', '무료']"
스미요시 타이샤,45.0,866.0,종교적인 장소,"2-9-89 Sumiyoshi, Sumiyoshi-ku, 오사카, 오사카",https://media-cdn.tripadvisor.com/media/photo-s/14/e4/12/00/sumiyoshi-taisha-shrine.jpg,"2 Chome-9-89 Sumiyoshi, Sumiyoshi Ward, Osaka, 558-0045 일본",〒558-0045 大阪府大阪市住吉区住吉２丁目９−89,http://www.sumiyoshitaisha.net/,+81 6-6672-0753,4.4,오전 6:30~오후 5:00,오전 6:30~오후 5:00,오전 6:30~오후 5:00,오전 6:30~오후 5:00,오전 6:30~오후 5:00,오전 6:30~오후 5:00,오전 6:30~오후 5:00,"['무료', '산책', '공원', '사원', '신사', '바다', '사진', '역사', '옛날']"
스파월드,40.0,834.0,놀이공원 & 테마파크,"3-4-24 Ebisu Higashi Naniwaku, 오사카, 오사카",https://media-cdn.tripadvisor.com/media/photo-s/12/6a/b6/f3/6.jpg,"3 Chome-4-24 Ebisuhigashi, Naniwa Ward, Osaka, 556-0002 일본",〒556-0002 大阪府大阪市浪速区恵美須東３丁目４−24,http://www.spaworld.co.jp/,+81 6-6631-0001,4.0,오전 10:00~오전 8:45,오전 10:00~오전 8:45,오전 10:00~오전 8:45,오전 10:00~오전 8:45,오전 10:00~오전 8:45,오전 10:00~오전 8:45,오전 10:00~오전 8:45,"['어린이', '목욕탕', '노천', '스파', '음식', '음식점', '온천', '수영장', '사우나', '휴식', '옷', '실내', '무료']"
시텐노지,40.0,1083.0,종교적인 장소,"1-11-18 Shitennoji, Tennoji-ku, 오사카, 오사카",https://media-cdn.tripadvisor.com/media/photo-s/09/0d/8a/7f/shitennoji-temple.jpg,"1 Chome-11-18 Shitennoji, Tennoji Ward, Osaka, 543-0051 일본",〒543-0051 大阪府大阪市天王寺区四天王寺１丁目11-18,shitennoji.or.jp,+81 6-6771-0066,4.3,오전 8:00~오후 4:00,오전 8:00~오후 4:00,오전 8:00~오후 4:00,오전 8:00~오후 4:00,오전 8:00~오후 4:00,오전 8:00~오후 4:00,오전 8:00~오후 4:00,"['절', '무료', '산책', '배', '사원', '신사', '산', '역사', '사진', '시장', '불상', '옛날']"
신사이바시스지 상점가,40.0,4908.0,인근 지역,"Chuo, 오사카, 오사카",https://media-cdn.tripadvisor.com/media/photo-s/0b/84/8a/c6/beautiful-evening-scenes.jpg,"2 Chome-2-22 Shinsaibashisuji, Chuo Ward, Osaka, 542-0085 일본",〒542-0085 大阪府大阪市中央区心斎橋筋２丁目２−22,https://www.shinsaibashi.or.jp/,+81 6-6211-1114,4.3,오전 11:00~오후 8:00,오전 11:00~오후 8:00,오전 11:00~오후 8:00,오전 11:00~오후 8:00,오전 11:00~오후 8:00,오전 11:00~오후 8:00,오전 11:00~오후 8:00,"['카페', '산책', '음식', '먹거리', '음식점', '쇼핑몰', '강', '백화점', '기념품', '사진', '쇼핑', '옷', '시장', '골목', '드럭스토어', '옛날']"
신세카이 혼도리 상점가,40.0,1525.0,즐길거리 & 랜드마크,"1 Ebisuhigashi, Naniwaku, 오사카, 오사카",https://media-cdn.tripadvisor.com/media/photo-s/09/c3/76/e8/shinsekai.jpg,"일본 〒556-0002 Osaka, Naniwa Ward, Ebisuhigashi, 2 Chome−5−1 ニューマルコ",〒556-0002 大阪府大阪市浪速区恵美須東２丁目５−1 ニューマルコ,shinsekai.jp,MG24+J9 오사카시 일본 오사카부,4.0,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,"['산책', '공원', '전통', '동물원', '스파', '배', '음식', '음식점', '게임', '기념품', '술', '사진', '쇼핑', '전망대', '시장', '옛날']"
신우메다 시티,40.0,459.0,건축물,"1-1-88 Oyodonaka,, Kita-Ku, 오사카, 오사카",https://media-cdn.tripadvisor.com/media/photo-s/0c/b8/c0/b9/vista1.jpg,"1 Chome-1-88 Oyodonaka, Kita Ward, Osaka, 531-0076 일본",〒531-0076 大阪府大阪市北区大淀中１丁目１−88,http://www.skybldg.co.jp/,+81 6-6440-3899,4.1,오전 9:30~오후 10:00,오전 9:30~오후 10:00,오전 9:30~오후 10:00,오전 9:30~오후 10:00,오전 9:30~오후 10:00,오전 9:30~오후 10:00,오전 9:30~오후 10:00,"['카페', '산책', '공원', '음식', '음식점', '야경', '휴식', '사진', '쇼핑', '전망대', '시장', '무료']"
쓰텐카쿠,35.0,1838.0,건축물,"1-18-6 Ebisuhigashi Naniwaku, 오사카, 오사카",https://media-cdn.tripadvisor.com/media/photo-s/16/2c/75/75/photo0jpg.jpg,"1 Chome-18-6 Ebisuhigashi, Naniwa Ward, Osaka, 556-0002 일본",〒556-0002 大阪府大阪市浪速区恵美須東１丁目１８−6,tsutenkaku.co.jp,+81 6-6641-9555,4.0,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,"['무료', '공원', '동물원', '음식', '음식점', '게임', '야경', '기념품', '사진', '역사', '전망대', '먹거리', '골목', '옛날']"
아베노 하루카스,40.0,1792.0,즐길거리 & 랜드마크,"1-1-43 Abenosuji, Abeno-Ku, 오사카, 오사카",https://media-cdn.tripadvisor.com/media/photo-s/0e/d4/e8/fd/caption.jpg,"1 Chome-1-43 Abenosuji, Abeno Ward, Osaka, 545-6016 일본",〒545-6016 大阪府大阪市阿倍野区阿倍野筋１丁目１−43,https://www.abenoharukas-300.jp/,+81 6-6621-0300,4.1,오전 9:00~오후 10:00,오전 9:00~오후 10:00,오전 9:00~오후 10:00,오전 9:00~오후 10:00,오전 9:00~오후 10:00,오전 9:00~오후 10:00,오전 9:00~오후 10:00,"['카페', '체험', '음식', '쇼핑몰', '음식점', '백화점', '야경', '사진', '쇼핑', '전망대', '무료']"
