Name,star,num,type,address,image,Address,Local_Address,Internet_Address,Call_Number,Rating,Sun,Mon,Tues,Wedn,Thur,Fri,Sat,keyword,avgTime,lat,lng,exp,cluster
센소지 가미나리몬,,,즐길거리 & 랜드마크,"2 Chome-3-1 Asakusa, Taito City, Tokyo 111-0032 일본",https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMjExMDJfMTkx%2FMDAxNjY3MzM3NjI3ODA2.30izCcDC-RTDolX9eoFT7lrg8fY1DnhArWQbUqNX__cg.spvrnqsJFF4FybenNnK7dU0DRdaD3zR2hcbrXSZZPtIg.JPEG.jinlovesjin%2FIMG_4339.JPG&type=a340,"2 Chome-3-1 Asakusa, Taito City, Tokyo 111-0032 일본",〒111-0032 東京都台東区浅草２丁目３−1,senso-ji.jp,+81 3-3842-0181,4.4,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,"['음식', '골목', '신사', '야경', '음식점', '사원', '체험', '선물', '산책', '먹거리', '기모노', '전통', '기념품', '역사', '사진', '옛날', '절', '쇼핑']",90.0,35.71122755,139.796423,3.9m 길이의 등불이 방문객을 맞이하는 센소지 입구의 웅장한 문입니다.,14
도쿄 국립신미술관,45.0,1308.0,아트뮤지엄,"3-1 Kitanomarukoen, Chiyoda City, Tokyo 102-8322 일본",https://media-cdn.tripadvisor.com/media/photo-s/0c/6a/f5/7f/dsc-0495-largejpg.jpg,"3-1 Kitanomarukoen, Chiyoda City, Tokyo 102-8322 일본",〒102-8322 東京都千代田区北の丸公園３−1,momat.go.jp,+81 50-5541-8600,4.3,오전 9:30~오후 5:00,휴무일,오전 9:30~오후 5:00,오전 9:30~오후 5:00,오전 9:30~오후 5:00,오전 9:30~오후 8:00,오전 9:30~오후 8:00,"['카페', '박물관', '무료', '산책', '실내', '기념품', '휴식', '사진', '작품', '그림', '전시회']",120.0,35.66547202,139.7263418,"현대적인 대규모 미술관으로, 일본과 세계 각국의 예술을 감상할 수 있는 단기 전시회가 열립니다.",13
시부야 스카이,,,건축물,"일본 〒150-6145 Tokyo, Shibuya City, Shibuya, 2 Chome−24−番 12号 14階・45階・46階・屋上 Shibuya Scramble Square",https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMjEyMDVfNzYg%2FMDAxNjcwMjAwNzczNTM2.FAr1iBgJ_Mp9pFe5X6TsSmJ66zCJPJ3HcoqjB2-6yr0g.cMv8o7pvvHoacXw7KM53DXlNFGMi_gbPGN6BhxugLF8g.JPEG.gsqlcti%2FIMG_0387.jpg&type=a340,"일본 〒150-6145 Tokyo, Shibuya City, Shibuya, 2 Chome−24−番 12号 14階・45階・46階・屋上 Shibuya Scramble Square",〒150-6145 東京都渋谷区渋谷２丁目２４−番 12号 14階・45階・46階・屋上 Shibuya Scramble Square,shibuya-scramble-square.com,+81 3-4221-0229,4.6,오전 10:00~오후 10:30,오전 10:00~오후 10:30,오전 10:00~오후 10:30,오전 10:00~오후 10:30,오전 10:00~오후 10:30,오전 10:00~오후 10:30,오전 10:00~오후 10:30,"['카페', '야외', '야경', '실내', '기념품', '사진', '전망대']",60.0,35.65865579,139.7021743,고층 건물인 시부야 스크램블 스퀘어의 옥상에 있는 360° 야외 전망대입니다.,3
야나카긴자,40.0,655.0,인근 지역,"3 Chome-13-1 Yanaka, Taito City, Tokyo 110-0001 일본",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/a1/d5/61/yanaka.jpg?w=1100&h=400&s=1,"3 Chome-13-1 Yanaka, Taito City, Tokyo 110-0001 일본",〒110-0001 東京都台東区谷中３丁目１３−1,yanakaginza.com,없음,4.1,오전 9:30~오전 12:00,오전 9:30~오전 12:00,오전 9:30~오전 12:00,오전 9:30~오전 12:00,오전 9:30~오전 12:00,오전 9:30~오전 12:00,오전 9:30~오전 12:00,"['카페', '음식', '골목', '시장', '신사', '음식점', '산책', '먹거리', '공원', '전통', '기념품', '사진', '술', '옛날', '절', '쇼핑']",180.0,35.72777433,139.7655952,1950년대부터 현재까지 운영 중인 전통 상점가로 약 60개의 상점과 레스토랑이 있습니다.,7
리쿠기엔,45.0,965.0,"공원,가든","6 Chome-16-3 Honkomagome, Bunkyo City, Tokyo 113-0021 일본",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/f9/30/7c/rikugien-garden.jpg?w=1100&h=500&s=1,"6 Chome-16-3 Honkomagome, Bunkyo City, Tokyo 113-0021 일본",〒113-0021 東京都文京区本駒込６丁目１６−3,tokyo-park.or.jp,+81 3-3941-2222,4.3,오전 9:00~오후 5:00,오전 9:00~오후 5:00,오전 9:00~오후 5:00,오전 9:00~오후 5:00,오전 9:00~오후 5:00,오전 9:00~오후 5:00,오전 9:00~오후 5:00,"['무료', '꽃', '산책', '공원', '휴식', '역사', '사진', '산']",60.0,35.73310851,139.7464532,"일본식 전통 조경, 여러 찻집과 중앙 연못이 어우러진 그림 같은 정원입니다.",15
롯폰기 힐스,40.0,1879.0,쇼핑몰,"6 Chome-10-1 Roppongi, Minato City, Tokyo 106-6108 일본",https://media-cdn.tripadvisor.com/media/photo-s/18/0f/28/8c/roppongi-hills.jpg,"6 Chome-10-1 Roppongi, Minato City, Tokyo 106-6108 일본",〒106-6108 東京都港区六本木６丁目１０−1,roppongihills.com,+81 3-6406-6000,4.2,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,"['카페', '박물관', '음식', '야외', '무료', '야경', '음식점', '산책', '공원', '실내', '작품', '사진', '쇼핑몰', '전망대', '전시회', '쇼핑']",60.0,35.66030336,139.7301352,"사무실, 레스토랑, 미술관이 들어선 복합단지와 꼭대기에 전망대가 자리한 초고층 건물입니다.",13
레인보우 브리지,40.0,2172.0,브리지,"Minato City, Tokyo 105-0000 일본",https://media-cdn.tripadvisor.com/media/photo-c/320x120/0a/a4/c0/3c/caption.jpg,"Minato City, Tokyo 105-0000 일본",〒105-0000 東京都港区,shutoko.jp,+81 3-5463-0224,4.4,오전 10:00~오후 6:00,오전 10:00~오후 6:00,오전 10:00~오후 6:00,오전 10:00~오후 6:00,오전 10:00~오후 6:00,오전 10:00~오후 6:00,오전 10:00~오후 6:00,"['무료', '야경', '산책', '바다', '공원', '사진', '자전거', '배']",60.0,35.63682546,139.7631443,도쿄만을 가로지르는 현수교로 태양광을 사용하여 야간에 화려하게 조명이 켜집니다.,10
나카미세도리,,,즐길거리 & 랜드마크 • 전망대 & 타워 • 공공기관 건물,"1 Chome-36-3 Asakusa, Taito City, Tokyo 111-0032 일본",https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2F20130131_20%2Fewhalove_1359615623811OozHm_JPEG%2FIMG_9771.JPG&type=a340,"1 Chome-36-3 Asakusa, Taito City, Tokyo 111-0032 일본",〒111-0032 東京都台東区浅草１丁目３６−3,asakusa-nakamise.jp,+81 3-3844-3350,4.2,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,"['음식', '골목', '선물', '기모노', '기념품', '사진', '옛날', '신사', '먹거리', '역사', '유카타', '그림', '인형', '절', '사원', '음식점', '시장', '산책', '전통', '쇼핑']",60.0,35.71199808,139.7964113,센소지의 정문과 본당을 연결하는 번화한 쇼핑가입니다.,14
간다 신사 (간다 묘진),,,종교적인 장소,"2 Chome-16-2 Sotokanda, Chiyoda City, Tokyo 101-0021 일본",https://search.pstatic.net/common/?src=https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2765_000_57%2F20181017175850126_T16MVN9G7.jpg%2F9913275.jpg%3Ftype%3Dm4500_4500_fst&type=a340,"2 Chome-16-2 Sotokanda, Chiyoda City, Tokyo 101-0021 일본",〒101-0021 東京都千代田区外神田２丁目１６−2,kandamyoujin.or.jp,+81 3-3254-0753,4.4,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,"['카페', '신사', '선물', '산책', '기념품', '역사', '사진', '애니메이션']",60.0,35.70214926,139.7686668,"1616년에 현재의 자리로 옮긴 숭엄한 신사로, 주색과 금색으로 화려하게 장식되어 있습니다.",7
스미다 공원,40.0,280.0,"공원,가든","1 Chome Hanakawado, Taito City, Tokyo 111-0033 일본",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/c7/64/7c/20210325-044528-2-largejpg.jpg?w=1000&h=-1&s=1,"1 Chome Hanakawado, Taito City, Tokyo 111-0033 일본",〒111-0033 東京都台東区花川戸１丁目,city.taito.lg.jp,+81 3-5246-1321,4.1,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,"['카페', '놀이기구', '불꽃놀이', '꽃', '야경', '강', '산책', '공원', '휴식', '사진', '자전거', '광장', '배']",120.0,35.7109343,139.7982193,"강변에 자리한 공원으로 커피숍, 놀이터가 있으며 봄철 벚꽃 명소로도 유명합니다.",14
오다이바 해변공원,40.0,821.0,해변,"1 Chom1 Chome-4 Daiba, Minato City, Tokyo 135-0091 일본e Hanakawado, Taito City, Tokyo 111-0033 일본",https://media-cdn.tripadvisor.com/media/photo-s/12/b7/85/86/seaside-park.jpg,"1 Chom1 Chome-4 Daiba, Minato City, Tokyo 135-0091 일본e Hanakawado, Taito City, Tokyo 111-0033 일본",〒135-0091 東京都港区台場１丁目４,http://www.tptc.co.jp/park/01_02,+81 3-5500-2455,4.3,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,"['카페', '음식', '불꽃놀이', '야경', '산책', '바다', '공원', '휴식', '사진', '쇼핑몰', '배', '쇼핑']",105.0,35.63356226,139.77467,레인보우 브리지와 시내 경관이 보이며 산책로와 작은 자유의 여신상이 있는 해안가의 녹지입니다.,10
모리 타워,45.0,1744.0,전망대 & 타워,"6 Chome-10-1 Roppongi, Minato City, Tokyo 106-0032 일본",https://media-cdn.tripadvisor.com/media/photo-c/320x120/13/2f/dc/f7/sky-deck.jpg,"6 Chome-10-1 Roppongi, Minato City, Tokyo 106-0032 일본",〒106-0032 東京都港区六本木６丁目１０−1,https://www.roppongihills.com/,+81 3-6406-6000,4.2,오전 11:00~오후 9:00,오전 11:00~오후 9:00,오전 11:00~오후 9:00,오전 11:00~오후 9:00,오전 11:00~오후 9:00,오전 11:00~오후 9:00,오전 11:00~오후 9:00,"['카페', '박물관', '무료', '야경', '음식점', '산책', '휴식', '작품', '사진', '쇼핑몰', '전망대', '전시회', '쇼핑']",75.0,35.66081293,139.7292495,"54층 높이의 오피스 타워로, 미술관, 전망대, 상점, 식당이 있습니다.",13
도쿄역,40.0,4244.0,건축물,"1 Chome Marunouchi, Chiyoda City, Tokyo 100-0005 일본",https://media-cdn.tripadvisor.com/media/photo-s/17/67/ba/cd/img-20190505-184931-largejpg.jpg,"1 Chome Marunouchi, Chiyoda City, Tokyo 100-0005 일본",〒100-0005 東京都千代田区丸の内１丁目,https://www.tokyoinfo.com/,없음,4.3,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,"['음식', '음식점', '기념품', '역사', '사진', '옛날', '광장', '쇼핑']",30.0,35.68140614,139.7672428,"1914년에 개장한 일본 도쿄의 철도역. 위치는 도쿄도 치요다구 마루노우치1초메(1가). 일본 수도권의 주요 재래선들이 이 역에서 시종착하며, 특히 신칸센중 도카이도 신칸센과 도호쿠 신칸센이 이곳을 기점으로 운행한다.",1
도쿄돔,40.0,960.0,아레나 & 경기장,"1 Chome-3-61 Koraku, Bunkyo City, Tokyo 112-0004 일본",https://media-cdn.tripadvisor.com/media/photo-s/11/44/52/b1/caption.jpg,"1 Chome-3-61 Koraku, Bunkyo City, Tokyo 112-0004 일본",〒112-0004 東京都文京区後楽１丁目３−61,https://www.tokyo-dome.co.jp/dome/,+81 3-5800-9999,4.2,홈페이지 참조,홈페이지 참조,홈페이지 참조,홈페이지 참조,홈페이지 참조,홈페이지 참조,홈페이지 참조,"['놀이기구', '음식', '콘서트', '음식점', '공연', '게임', '공원', '야구', '경기장', '실내', '사진', '쇼핑']",150.0,35.70571798,139.7519342,"이 유명한 돔형 스타디움에서는 야구 경기를 비롯한 스포츠 이벤트, 콘서트, 전시회가 열립니다.",15
도쿄 돔 시티,40.0,759.0,놀이공원 & 테마파크,"1 Chome-3-61 Koraku, Bunkyo City, Tokyo 112-8575 일본",https://media-cdn.tripadvisor.com/media/photo-s/0a/33/d5/de/caption.jpg,"1 Chome-3-61 Koraku, Bunkyo City, Tokyo 112-8575 일본",〒112-8575 東京都文京区後楽１丁目３−61,http://www.tokyo-dome.co.jp/,+81 3-3817-6001,4.1,오전 10:00~오후 9:00,오전 10:00~오후 9:00,오전 10:00~오후 9:00,오전 10:00~오후 9:00,오전 10:00~오후 9:00,오전 10:00~오후 9:00,오전 10:00~오후 9:00,"['음식', '게임', '공원', '관람차', '휴식', '쇼핑몰', '스파', '옛날', '카페', '무료', '온천', '야경', '음식점', '체험', '어린이', '놀이기구', '콘서트', '어트랙션', '산책', '야구', '실내', '광장', '쇼핑']",90.0,35.70458174,139.7534071,"이 유명한 돔형 스타디움에서는 야구 경기를 비롯한 스포츠 이벤트, 콘서트, 전시회가 열립니다.",15
호피 거리,,,인근 지역,"2 Chome-3-19 Asakusa, Taito City, Tokyo 111-0032 일본",https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxNzA2MjhfMjEx%2FMDAxNDk4NjU3MjA1NTE4.OicKWXw_mvaj0MJUrCASIfLbq0ORg7i4qf6m7Jiy6QIg.m3n7Kqkgd5ASU-gZIDIxBHM3-Vt3r8o315pyYuHBasog.JPEG.gosumpig%2FIMG_2503.JPG&type=a340,"2 Chome-3-19 Asakusa, Taito City, Tokyo 111-0032 일본",〒111-0032 東京都台東区浅草２丁目３−19,없음,없음,3.9,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,"['음식', '골목', '술', '옛날', '절', '배']",120.0,36.44417369,140.0120181,저렴한 안주에 호피와 알콜을 마실 수 있는 곳 호피 거리입니다.,2
아사쿠사 신사,45.0,6111.0,인근 지역,"2 Chome-3-1 Asakusa, Taito City, Tokyo 111-0032 일본",https://media-cdn.tripadvisor.com/media/photo-s/18/4c/96/75/caption.jpg,"2 Chome-3-1 Asakusa, Taito City, Tokyo 111-0032 일본",〒111-0032 東京都台東区浅草２丁目３−1,http://www.asakusajinja.jp/,+81 3-3844-1575,4.4,오전 9:00~오후 4:00,오전 9:00~오후 4:00,오전 9:00~오후 4:00,오전 9:00~오후 4:00,오전 9:00~오후 4:00,오전 9:00~오후 4:00,오전 9:00~오후 4:00,"['음식', '시장', '신사', '꽃', '강', '사원', '산책', '먹거리', '기모노', '전통', '기념품', '역사', '사진', '인형', '절']",210.0,35.71515514,139.7974325,1649년에 지은 유명한 신사로 사원 단지에 있으며 5월에 산자마쓰리 축제가 열립니다.,14
도쿄도 현대미술관,40.0,252.0,아트뮤지엄,"4 Chome-1-1 Miyoshi, Koto City, Tokyo 135-0022 일본",https://media-cdn.tripadvisor.com/media/photo-s/17/13/37/03/3-3-29.jpg,"4 Chome-1-1 Miyoshi, Koto City, Tokyo 135-0022 일본",〒135-0022 東京都江東区三好４丁目１−1,https://www.mot-art-museum.jp/,+81 3-5245-4111,4.3,오전 10:00~오후 6:00,휴무일,오전 10:00~오후 6:00,오전 10:00~오후 6:00,오전 10:00~오후 6:00,오전 10:00~오후 6:00,오전 10:00~오후 6:00,"['카페', '박물관', '무료', '체험', '옷', '어린이', '산책', '공원', '기념품', '휴식', '사진', '작품', '그림', '전시회']",90.0,35.68081551,139.8090792,1990년대의 유서 깊은 건물에 일본과 전 세계 아티스트의 영구 소장 컬렉션과 순환 컬렉션이 전시되어 있습니다.,18
긴자 식스,45.0,4731.0,인근 지역,"6 Chome-10-1 Ginza, Chuo City, Tokyo 104-0061 일본",https://media-cdn.tripadvisor.com/media/photo-s/08/c7/2f/03/ginza.jpg,"6 Chome-10-1 Ginza, Chuo City, Tokyo 104-0061 일본",〒104-0061 東京都中央区銀座６丁目１０−1,https://ginza6.tokyo/,+81 3-6891-3390,3.9,오전 10:30~오후 8:30,오전 10:30~오후 8:30,오전 10:30~오후 8:30,오전 10:30~오후 8:30,오전 10:30~오후 8:30,오전 10:30~오후 8:30,오전 10:30~오후 8:30,"['카페', '백화점', '음식', '야경', '음식점', '선물', '산책', '기념품', '휴식', '사진', '쇼핑몰', '작품', '쇼핑']",150.0,35.66982148,139.764052,여러 명품 브랜드를 포함한 수백 개의 매장이 다목적 건물 내에서 영업 중이며 루프톱 정원도 있습니다.,9
도쿄 대학,40.0,519.0,유서 깊은 산책로,"7 Chome-3-1 Hongo, Bunkyo City, Tokyo 113-8654 일본",https://media-cdn.tripadvisor.com/media/photo-s/11/b8/fd/45/caption.jpg,"7 Chome-3-1 Hongo, Bunkyo City, Tokyo 113-8654 일본",〒113-8654 東京都文京区本郷７丁目３−1,https://www.u-tokyo.ac.jp/ja/index.html,+81 3-3812-2111,4.4,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,"['산책', '공원', '역사', '사진', '옛날', '캠퍼스']",60.0,35.71280814,139.7620856,"1870년대에 설립된 유수의 연구 대학으로 인문, 사회 및 자연과학으로 유명합니다.",15
도쿄 빅사이트,35.0,681.0,건축물,"3 Chome-11-1 Ariake, Koto City, Tokyo 135-0063 일본",https://media-cdn.tripadvisor.com/media/photo-s/09/de/d0/02/caption.jpg,"3 Chome-11-1 Ariake, Koto City, Tokyo 135-0063 일본",〒135-0063 東京都江東区有明３丁目１１−1,http://www.bigsight.jp/,+81 3-5530-1111,3.9,오전 8:00~오후 8:00,오전 8:00~오후 8:00,오전 8:00~오후 8:00,오전 8:00~오후 8:00,오전 8:00~오후 8:00,오전 8:00~오후 8:00,오전 8:00~오후 8:00,"['카페', '음식', '시장', '무료', '음식점', '선물', '휴식', '박람회', '사진', '전시회']",90.0,35.63218467,139.7975067,도쿄 빅사이트는 일본 최대의 국제 전시장입니다. 일본을 견인하는 전시회 비즈니스의 무대로서 새로운 미래를 여는 '만남'과 '감동'을 고객님에게 제공합니다.,10
